"",AYR,,,MAIN ROTA 1,,,01.12.25,
26,,13,13,13,13,13,REST,REST
27,,REST,REST,TOA,TOA,18 F,TOA,528
28,,53 MT,REST,53 WH,53 WH,53 F,349,REST
29,,39 MTWH,39 MTWH,39 MTWH,REST,REST,338,519
30,,TOA,TOA,TOA,TOA,REST,REST,TOA
31,,51,51,51,51,51,REST,REST
32,,REST,1,1,1,REST,301,504
33,,6 MT,6 MT,6 WHF,REST,6 WHF,307,REST
34,,TOA,TOA,TOA,TOA,TOA,REST,REST
35,,REST,REST,38 WH,38 WH,38 F,337,517
36,,32,REST,24,24,24,315,REST
37,,TOA,TOA,REST,32,32,330,REST
38,,20 MT,20 MT,REST,20 WH,20 F,REST,515
"",TOA,TOA,TOA,REST,TOA,TOA,REST,
