"",AYR,,,MAIN ROTA 3,,,01.12.25,
54,,TOA,TOA,TOA,7,TOA,REST,REST
55,,REST,REST,TOA,TOA,TOA,TOA,TOA
56,,43 MT,REST,43 WH,43 WH,43 F,344,REST
57,,TOA,TOA,TOA,REST,REST,328,506
58,,REST,TOA,TOA,TOA,TOA,TOA,REST
59,,28,28,28,28,REST,REST,507
60,,19,19,19,19,19,REST,REST
61,,42 MT,43 MT,REST,REST,42 F,335,TOA
62,,38 MT,38 MT,41 WH,44,REST,341,REST
63,,27 MTWH,27 MTWH,27 MTWH,27 MTWH,27 F,REST,REST
64,,REST,REST,21,21,21,317,518
65,,TOA,REST,REST,TOA,TOA,TOA,TOA
66,,50 MTWH,50 MTWH,REST,39 MTWH,39 F,342,REST
