"",AYR,,,,,X77 ROLLING,,,,,01.12.25,,
"",,,MONDAY,,TUESDAY,WEDNESDAY,,THURSDAY,,FRIDAY,SATURDAY,,SUNDAY
"",DRIVER,,,,,,,,,,,,
"",,74,,74,,74,74,,74,,REST,REST,
1,,,,,,,,,,,,,
"",,REST,,REST,,85 WHF,85 WHF,,85 WHF,,383,578,
2,,,,,,,,,,,,,
"",,84 MTWH,,REST,,75,75,,75,,373,REST,
3,,,,,,,,,,,,,
"",,73 MT,,73 MT,,73 WHF,73 WHF,,REST,,372,REST,
4,,,,,,,,,,,,,
"",,75,,75,,REST,78 WH,,78 MTF,,374,REST,
5,,,,,,,,,,,,,
"",,TOA,,TOA,,TOA,TOA,,REST,,REST,577,
6,,,,,,,,,,,,,
"",,81,,81,,81,81,,81,,REST,REST,
7,,,,,,,,,,,,,
"",,REST,,REST,,TOA,TOA,,TOA,,TOA,TOA,
8,,,,,,,,,,,,,
"",,REST,,86 MT,,REST,82 WH,,82 F,,380,576,
9,,,,,,,,,,,,,
"",,REST,,79,,79,79,,79,,375,REST,
10,,,,,,,,,,,,,
"",,TOA,,TOA,,REST,REST,,72,,371,571,
11,,,,,,,,,,,,,
"",,78 MTF,,78 MTF,,78 WH,REST,,77 F,,379,REST,
12,,,,,,,,,,,,,
"",,77 MT,,77 MT,,77 WH,77 WH,,REST,,REST,573,
13,,,,,,,,,,,,,
"",,80 MT,,80 MT,,80 WH,80 WH,,80 F,,REST,REST,
14,,,,,,,,,,,,,
"",,REST,,REST,,76 WH,76 WH,,76 F,,376,575,
15,,,,,,,,,,,,,
"",,76 MT,,76 MT,,REST,REST,,73 WHF,,378,574,
16,,,,,,,,,,,,,
"",,83,,83,,83,REST,,83 F,,382,REST,
17,,,,,,,,,,,,,
"",,79,,84 MTWH,,84 MTWH,84 MTWH,,REST,,REST,572,
18,,,,,,,,,,,,,
"",,TOA,,TOA,,REST,TOA,,TOA,,TOA,REST,
19,,,,,,,,,,,,,
